SeriesDescription,label
SAGITTAL_CAROTID_BRAIN_CTA_MIP,sagittal_mip
CORONAL_CAROTID_BRAIN_CTA_MIP,coronal_mip
THICK_CAROTID_BRAIN_CTA_MIP,axial_arterial_mip
ARTERIAL_THICK_AXIAL_MIP,axial_arterial_mip
THICK_AXIAL_NECK_BRAIN_CTA_MIP,axial_arterial_mip
24X4_AXIAL_HEAD_AND_NECK_MIP,axial_arterial_mip
THICK_PEAK_VENOUS_BRAIN,axial_peak_venous_mip
PEAK_VENOUS_THICK_AXIAL_MIP,axial_peak_venous_mip
AXIAL_PEAK_VENOUS_BRAIN_MIP,axial_peak_venous_mip
24X4_AXIAL_MIP_PEAK_VENOUS,axial_peak_venous_mip
THICK_LATE_VENOUS_BRAIN,axial_late_venous_mip
LATE_VENOUS_THICK_AXIAL_MIP,axial_late_venous_mip
AXIAL_LATE_VENOUS_BRAIN_MIP,axial_late_venous_mip
24X4_AXIAL_MIP_LATE_VENOUS,axial_late_venous_mip
THIN_SAGITAL_NECK_BRAIN_CTA,sagittal_thin
CORONAL_NECK_BRAIN_CTA,coronal_thin
THIN_AXIAL_NECK_AND_BRAIN_CTA,axial_thin
THIN_AXIAL_BRAIN_NECK_CTA,axial_thin
AXIAL_NECK_BRAIN_CTA,axial_thin
AXIAL_BRAIN_NECK_CTA,axial_thin
CORONAL_NC_BRAIN,coronal_nc
AXIAL_NC_BRAIN_REFORMAT,axial_nc
